,,,,,,,,
United Nations Provisional Central Product Classification (CPC),United Nations Provisional Central Product Classification Description,GSIN Code,GSIN Description EN,GSIN Description FR,UNSPSC Code,UNSPSC Description EN,UNSPSC Description FR,
,,5169ED,"Metal Doors and Frames, Installation and Repair",Portes et cadres métalliques - installation et réparation,,,,
,,5169EE,Overhead Door - Maintenance,Porte relevable - entretien,,,,
,,5169EF,"Door and Window Hardware, Installation and Replacement",Quincaillerie pour portes et fenêtres - installation et remplacement,,,,
,,5169FC,Carpet Laying/Installation,Tapis - moquettes - pose/installation,,,,
,,5169FD,Window Blinds - Installation and Repair,Stores - installation et réparation,,,,
,,5169G,Refrigeration Systems - Installation and Repair,Systèmes de réfrigération - installation et réparation,,,,
,,5169J,Chillers - Installation and Repair,Refroidisseurs - installation et réparation,,,,
,,5169K,Digital Control Systems - Installation and Repair,Systèmes de commandes numériques - installation et réparation,,,,
,,5169L,Building Computer Cabling Installation,Câblage de matériel informatique d'immeuble - installation,,,,
,,5169M,Fire Suppression/Extinguishing Systems - Dry Chemical,Installations d'extinction d'incendie - à poudre,,,,
,,5169P,"Mechanical Contractor Services, Not Elsewhere Specified","Services d'entrepreneur en mécanique, non énumérés ailleurs",,,,
517 Building completion and finishing work,5171 Glazing work and window glass installation work,5171B,Glazing and Window Glass Installation,Installation de verre à vitres et de vitrage,,,,
,5172 Plastering work,5172A,Plastering Work,Travaux de plâtrage,,,,
,5173 Painting work,5173B,Painting Work,Travaux de peinturage,,,,
,,5173BA,Painting Services - Interior,Services de peinturage d'intérieur,,,,
,,5173BB,Painting Services - Exterior,Services de peinturage d'extérieur,,,,
,,5173C,Traffic Line Marking,Marquage de bandes  de séparation de la circulation,,,,
,5174 Floor and wall tiling work,5174A,Floor and Wall Tiling Work,Travaux de pose de carreaux de sol et de mur,,,,
,"5175 Other floor laying, wall covering and wall papering work",5175A,Other Floor Laying and Wall Papering Work,Autres travaux de pose de revêtement de sol et de papier peint,,,,
,,5175AA,Flooring Contractors,Entrepreneurs en revêtements de sol,,,,
,,5175AB,Floor Sanding and Refinishing Services,Services de ponçage et de refinition de planchers,,,,
,,5175AC,Epoxy Application Resurface Floors Service,Service d'application d'époxyde pour refaire le revêtement des planchers,,,,
,,5175AD,"Tile Contractors, Vinyl and Linoleum",Entrepreneurs en carreaux de vinyle et de linoléum,,,,
,,5175B,Carpentry and Flooring,Services de charpenterie et de planchéiage,,,,
,5176 Wood and metal joinery and carpentry work,5176AB,Carpentry Services,Services - travaux de charpenterie,,,,
,,5176B,Wood and Metal Joinery and Carpentry,Travaux de menuiserie et de charpenterie (bois et métal),,,,
,,5176C,Metal Fabricators (Iron and Steel),Façonneurs de métal (fer et acier),,,,
,,5176D,Ironwork Contractors,Entrepreneurs en ferronnerie,,,,
,5177 Interior fitting decoration work,5177A,Textiles Trade Services,Services pour commerce de textiles,,,,
,,5177AA,"Textile Trade Service-Laminating, Insulation, DND Only","Service pour commerce de textiles - laminage, isolation, MDN seulement",,,,
,,5177AB,"Textile Trade Service, Coating Only","Service pour commerce de textile, enduction seulement",,,,
,,5177AE,"Textile Trade Service, Approved Sub-Contractors (Clothing Assembly Only)","Service pour commerce de textile, sous-entrepreneurs approuvés, assemblage de vêtements seulement",,,,
,,5177AJ,"Textile Trade Service, Film Laminator","Service pour commerce de textile, laminage, pellicule",,,,
,,5177AK,"Textile Trade Service, Fibre Laminator, DND Only","Service pour commerce de textile, laminage, fibre, MDN seulement",,,,
,,5177AL,"Textile Trade Service, Design Services, Clothing","Service pour commerce de textile, service de dessin de vêtements",,,,
,,5177BA,Interior Fit-Up/Renovations,Aménagement intérieur/rénovations,,,,
,5178 Ornamentation fitting work,N/A,,,,,,
,5179 Other building completion and finishing work,5179C,Building Exterior Cleaning,Nettoyage extérieur des immeubles,,,,
,,5179CB,Sandblasting Services,Services de sablage par jet,,,,
,,5179D,Protective and Alarm Systems,Systèmes de protection et d'alarme,,,,
,,5179F,"Building/Installation Special Trade Services, Not Elsewhere Specified","Services professionnels spéciaux de construction et d'installation, non énumérés ailleurs",,,,
,,5179FB,"General Contractor Services, Not Elsewhere Specified","Services d'entrepreneurs généraux , non énumérés ailleurs",,,,
,,5179H,General Machine Shop Services,Services généraux d'atelier de construction mécanique,,,,
,,5179HC,"Machine Shop Services, Precision","Services d'ateliers de construction mécanique, de précision",,,,
,,5179I,Other Building Completion and Finishing,Autres travaux d'achèvement et de finition des bâtiments,,,,
"518 Renting services related to equipment for construction or demolition of buildings or civil engineering works, with operator","5180 Renting services related to equipment for construction or demolition of buildings or civil engineering works, with operator",5181A,"Construction Equipment Rental, with Operator",Location d'équipement de construction avec opérateur,,,,
,,,,,,,,
1 Dredging Services are excluded under all listed trade agreements. ,,,,,,,,
